Sample in Buffer,Sample in Window,TRIGGER,axis_rx_tdata_1[511:0],axis_rx_tvalid_1,axis_rx_tuser_1,axis_rx_tkeep_1[63:0],axis_rx_tlast_1,axis_tx_tdata_1[511:0],axis_tx_tvalid_1,axis_tx_tkeep_1[63:0],axis_tx_tlast_1,axis_tx_tready_1,lbus_reset,lbus1_tx_ovfout,lbus1_tx_unfout,RefClkLocked,Reset,qsfp1_intl_ls_IBUF
0,0,0,000000000000000000000000000000000000000000000000000000000000001e0000000000000000989c8e610000000000000000000f0002001400000980c0f3,0,0,0000000000000000,0,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,0000000000000000,0,1,0,0,0,1,0,1
1,1,0,0000000000000000000000000000000000000000000000001200102778b50a64a8c09664a8c029da11400040ac16260000450008acfbc34b6b50924102350a00,0,0,0000000000000000,0,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,0000000000000000,0,1,0,0,0,1,0,1
2,2,0,1c2f21b10000000000000000ffffffff0000000001da4dff1200102778b50a64a8c09664a8c029da11400040ac16260000450008acfbc34b6b50924102350a00,1,0,0fffffffffffffff,1,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,0000000000000000,0,1,0,0,0,1,0,1
3,3,0,000000000000000000000000000000000000000000000000000000000000001e00000000000000001c2f21b10000000000000000ffffffff0000000001da4dff,0,0,0000000000000000,0,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,0000000000000000,0,1,0,0,0,1,0,1
4,4,0,000000000000000000000000000000000000000000000000000000000000001e00000000000000001c2f21b10000000000000000ffffffff0000000001da4dff,0,0,0000000000000000,0,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,0000000000000000,0,1,0,0,0,1,0,1
5,5,0,000000000000000000000000000000000000000000000000000000000000001e00000000000000001c2f21b10000000000000000ffffffff0000000001da4dff,0,0,0000000000000000,0,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,0000000000000000,0,1,0,0,0,1,0,1
6,6,0,000000000000000000000000000000000000000000000000000000000000001e00000000000000001c2f21b10000000000000000ffffffff0000000001da4dff,0,0,0000000000000000,0,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,0000000000000000,0,1,0,0,0,1,0,1
7,7,0,000000000000000000000000000000000000000000000000000000000000001e00000000000000001c2f21b10000000000000000ffffffff0000000001da4dff,0,0,0000000000000000,0,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,0000000000000000,0,1,0,0,0,1,0,1
8,8,0,000000000000000000000000000000000000000000000000000000000000001e00000000000000001c2f21b10000000000000000ffffffff0000000001da4dff,0,0,0000000000000000,0,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,0000000000000000,0,1,0,0,0,1,0,1
9,9,0,000000000000000000000000000000000000000000000000000000000000001e00000000000000001c2f21b10000000000000000ffffffff0000000001da4dff,0,0,0000000000000000,0,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,0000000000000000,0,1,0,0,0,1,0,1
10,10,0,000000000000000000000000000000000000000000000000000000000000001e00000000000000001c2f21b10000000000000000ffffffff0000000001da4dff,0,0,0000000000000000,0,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,0000000000000000,0,1,0,0,0,1,0,1
11,11,0,000000000000000000000000000000000000000000000000000000000000001e00000000000000001c2f21b10000000000000000ffffffff0000000001da4dff,0,0,0000000000000000,0,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,0000000000000000,0,1,0,0,0,1,0,1
12,12,0,000000000000000000000000000000000000000000000000000000000000001e00000000000000001c2f21b10000000000000000ffffffff0000000001da4dff,0,0,0000000000000000,0,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,0000000000000000,0,1,0,0,0,1,0,1
13,13,0,000000000000000000000000000000000000000000000000000000000000001e00000000000000001c2f21b10000000000000000ffffffff0000000001da4dff,0,0,0000000000000000,0,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,0000000000000000,0,1,0,0,0,1,0,1
14,14,1,000000000000000000000000000000000000000000000000000000000000001e00000000000000001c2f21b10000000000000000ffffffff0000000001da4dff,0,0,0000000000000000,0,1c2f21b10000000000000000ffffffff0000000001da4dff120078b510279664a8c00a64a8c029da11400040ac16260000450008924102350a00acfbc34b6b50,1,0fffffffffffffff,1,1,0,0,0,1,0,1
15,15,0,000000000000000000000000000000000000000000000000000000000000001e00000000000000001c2f21b10000000000000000ffffffff0000000001da4dff,0,0,0000000000000000,0,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,0000000000000000,0,1,0,0,0,1,0,1
16,0,0,f0a90c0f0000000000000000ffffffff0000000101da4dfe1200102778b50a64a8c09664a8c028da11400040ad16260000450008acfbc34b6b50924102350a00,1,0,0fffffffffffffff,1,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,0000000000000000,0,1,0,0,0,1,0,1
17,1,0,000000000000000000000000000000000000000000000000000000000000001e0000000000000000f0a90c0f0000000000000000ffffffff0000000101da4dfe,0,0,0000000000000000,0,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,0000000000000000,0,1,0,0,0,1,0,1
18,2,0,000000000000000000000000000000000000000000000000000000000000001e0000000000000000f0a90c0f0000000000000000ffffffff0000000101da4dfe,0,0,0000000000000000,0,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,0000000000000000,0,1,0,0,0,1,0,1
19,3,0,000000000000000000000000000000000000000000000000000000000000001e0000000000000000f0a90c0f0000000000000000ffffffff0000000101da4dfe,0,0,0000000000000000,0,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,0000000000000000,0,1,0,0,0,1,0,1
20,4,0,000000000000000000000000000000000000000000000000000000000000001e0000000000000000f0a90c0f0000000000000000ffffffff0000000101da4dfe,0,0,0000000000000000,0,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,0000000000000000,0,1,0,0,0,1,0,1
21,5,0,000000000000000000000000000000000000000000000000000000000000001e0000000000000000f0a90c0f0000000000000000ffffffff0000000101da4dfe,0,0,0000000000000000,0,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,0000000000000000,0,1,0,0,0,1,0,1
22,6,0,000000000000000000000000000000000000000000000000000000000000001e0000000000000000f0a90c0f0000000000000000ffffffff0000000101da4dfe,0,0,0000000000000000,0,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,0000000000000000,0,1,0,0,0,1,0,1
23,7,0,000000000000000000000000000000000000000000000000000000000000001e0000000000000000f0a90c0f0000000000000000ffffffff0000000101da4dfe,0,0,0000000000000000,0,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,0000000000000000,0,1,0,0,0,1,0,1
24,8,0,000000000000000000000000000000000000000000000000000000000000001e0000000000000000f0a90c0f0000000000000000ffffffff0000000101da4dfe,0,0,0000000000000000,0,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,0000000000000000,0,1,0,0,0,1,0,1
25,9,0,000000000000000000000000000000000000000000000000000000000000001e0000000000000000f0a90c0f0000000000000000ffffffff0000000101da4dfe,0,0,0000000000000000,0,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,0000000000000000,0,1,0,0,0,1,0,1
26,10,0,000000000000000000000000000000000000000000000000000000000000001e0000000000000000f0a90c0f0000000000000000ffffffff0000000101da4dfe,0,0,0000000000000000,0,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,0000000000000000,0,1,0,0,0,1,0,1
27,11,0,000000000000000000000000000000000000000000000000000000000000001e0000000000000000f0a90c0f0000000000000000ffffffff0000000101da4dfe,0,0,0000000000000000,0,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,0000000000000000,0,1,0,0,0,1,0,1
28,12,0,000000000000000000000000000000000000000000000000000000000000001e0000000000000000f0a90c0f0000000000000000ffffffff0000000101da4dfe,0,0,0000000000000000,0,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,0000000000000000,0,1,0,0,0,1,0,1
29,13,0,000000000000000000000000000000000000000000000000000000000000001e0000000000000000f0a90c0f0000000000000000ffffffff0000000101da4dfe,0,0,0000000000000000,0,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,0000000000000000,0,1,0,0,0,1,0,1
30,14,1,000000000000000000000000000000000000000000000000000000000000001e0000000000000000f0a90c0f0000000000000000ffffffff0000000101da4dfe,0,0,0000000000000000,0,f0a90c0f0000000000000000ffffffff0000000101da4dfe120078b510279664a8c00a64a8c028da11400040ad16260000450008924102350a00acfbc34b6b50,1,0fffffffffffffff,1,1,0,0,0,1,0,1
31,15,0,000000000000000000000000000000000000000000000000000000000000001e0000000000000000f0a90c0f0000000000000000ffffffff0000000101da4dfe,0,0,0000000000000000,0,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,0000000000000000,0,1,0,0,0,1,0,1
32,0,0,000000000000000000000000000000000000000000000000a8c09664a8c027daa8c09664a8c027da11400040ae16260000450008acfbc34b6b50924102350a00,0,0,0000000000000000,0,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,0000000000000000,0,1,0,0,0,1,0,1
33,1,0,5c8d8e2b0000000000000000ffffffff0000000201da4dfd1200102778b50a64a8c09664a8c027da11400040ae16260000450008acfbc34b6b50924102350a00,1,0,0fffffffffffffff,1,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,0000000000000000,0,1,0,0,0,1,0,1
34,2,0,00000000000000000000000000000000000000000000000000000000000000005c8d8e2b0000000000000000ffffffff0000000201da4dfd1200102778b50a64,0,0,0000000000000000,0,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,0000000000000000,0,1,0,0,0,1,0,1
35,3,0,00000000000000000000000000000000000000000000000000000000000000005c8d8e2b0000000000000000ffffffff0000000201da4dfd1200102778b50a64,0,0,0000000000000000,0,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,0000000000000000,0,1,0,0,0,1,0,1
36,4,0,00000000000000000000000000000000000000000000000000000000000000005c8d8e2b0000000000000000ffffffff0000000201da4dfd1200102778b50a64,0,0,0000000000000000,0,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,0000000000000000,0,1,0,0,0,1,0,1
