Sample in Buffer,Sample in Window,TRIGGER,axis_rx_tdata_1[511:0],axis_rx_tvalid_1,axis_rx_tuser_1,axis_rx_tkeep_1[63:0],axis_rx_tlast_1,axis_tx_tdata_1[511:0],axis_tx_tvalid_1,axis_tx_tkeep_1[63:0],axis_tx_tlast_1,axis_tx_tready_1,lbus_reset,lbus1_tx_ovfout,lbus1_tx_unfout,RefClkLocked,Reset,qsfp1_intl_ls_IBUF
0,0,0,000000000000000000000000000000000000000000000000000000000000001e0000000000000000989c8e610000000000000000000f0002001400000980c0f3,0,0,0000000000000000,0,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,0000000000000000,0,1,0,0,0,1,0,1
1,1,0,000000000000000000000000000000000000000000000000000000000000001e0000000000000000989c8e610000000000000000000f0002001400000980c0f3,0,0,0000000000000000,0,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,0000000000000000,0,1,0,0,0,1,0,1
2,2,0,000000000000000000000000000000000000000000000000000000000000001e0000000000000000989c8e610000000000000000000f0002001400000980c0f3,0,0,0000000000000000,0,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,0000000000000000,0,1,0,0,0,1,0,1
3,3,0,000000000000000000000000000000000000000000000000000000000000001e0000000000000000989c8e610000000000000000000f0002001400000980c0f3,0,0,0000000000000000,0,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,0000000000000000,0,1,0,0,0,1,0,1
4,4,0,000000000000000000000000000000000000000000000000000000000000001e0000000000000000989c8e610000000000000000000f0002001400000980c0f3,0,0,0000000000000000,0,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,0000000000000000,0,1,0,0,0,1,0,1
5,5,0,000000000000000000000000000000000000000000000000000000000000001e0000000000000000989c8e610000000000000000000f0002001400000980c0f3,0,0,0000000000000000,0,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,0000000000000000,0,1,0,0,0,1,0,1
6,6,0,000000000000000000000000000000000000000000000000000000000000001e0000000000000000989c8e610000000000000000000f0002001400000980c0f3,0,0,0000000000000000,0,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,0000000000000000,0,1,0,0,0,1,0,1
7,7,0,000000000000000000000000000000000000000000000000000000000000001e0000000000000000989c8e610000000000000000000f0002001400000980c0f3,0,0,0000000000000000,0,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,0000000000000000,0,1,0,0,0,1,0,1
8,8,0,000000000000000000000000000000000000000000000000000000000000001e0000000000000000989c8e610000000000000000000f0002001400000980c0f3,0,0,0000000000000000,0,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,0000000000000000,0,1,0,0,0,1,0,1
9,9,0,000000000000000000000000000000000000000000000000000000000000001e0000000000000000989c8e610000000000000000000f0002001400000980c0f3,0,0,0000000000000000,0,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,0000000000000000,0,1,0,0,0,1,0,1
10,10,0,000000000000000000000000000000000000000000000000000000000000001e0000000000000000989c8e610000000000000000000f0002001400000980c0f3,0,0,0000000000000000,0,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,0000000000000000,0,1,0,0,0,1,0,1
11,11,0,000000000000000000000000000000000000000000000000000000000000001e0000000000000000989c8e610000000000000000000f0002001400000980c0f3,0,0,0000000000000000,0,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,0000000000000000,0,1,0,0,0,1,0,1
12,12,0,000000000000000000000000000000000000000000000000000000000000001e0000000000000000989c8e610000000000000000000f0002001400000980c0f3,0,0,0000000000000000,0,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,0000000000000000,0,1,0,0,0,1,0,1
