Property                           Type     Read-only  Value
ADDRESS_TAG                        string   true       
BD_TYPE                            string   true       
CLASS                              string   true       cell
CONFIG.ADC0_Band                   string   true       0
CONFIG.ADC0_Clock_Dist             string   true       0
CONFIG.ADC0_Clock_Source           string   true       2
CONFIG.ADC0_Clock_Source_MX        string   true       0
CONFIG.ADC0_Enable                 string   true       1
CONFIG.ADC0_Fabric_Freq            string   true       250.000
CONFIG.ADC0_Link_Coupling          string   true       0
CONFIG.ADC0_Multi_Tile_Sync        string   true       false
CONFIG.ADC0_Outclk_Freq            string   true       250.000
CONFIG.ADC0_PLL_Enable             string   true       true
CONFIG.ADC0_Refclk_Div             string   true       1
CONFIG.ADC0_Refclk_Freq            string   true       250.000
CONFIG.ADC0_Sampling_Rate          string   true       2.000
CONFIG.ADC1_Band                   string   true       0
CONFIG.ADC1_Clock_Dist             string   true       0
CONFIG.ADC1_Clock_Source           string   true       2
CONFIG.ADC1_Clock_Source_MX        string   true       1
CONFIG.ADC1_Enable                 string   true       1
CONFIG.ADC1_Fabric_Freq            string   true       250.000
CONFIG.ADC1_Link_Coupling          string   true       0
CONFIG.ADC1_Multi_Tile_Sync        string   true       false
CONFIG.ADC1_Outclk_Freq            string   true       250.000
CONFIG.ADC1_PLL_Enable             string   true       true
CONFIG.ADC1_Refclk_Div             string   true       1
CONFIG.ADC1_Refclk_Freq            string   true       250.000
CONFIG.ADC1_Sampling_Rate          string   true       2.000
CONFIG.ADC2_Band                   string   true       0
CONFIG.ADC2_Clock_Dist             string   true       1
CONFIG.ADC2_Clock_Source           string   true       2
CONFIG.ADC2_Clock_Source_MX        string   true       2
CONFIG.ADC2_Enable                 string   true       1
CONFIG.ADC2_Fabric_Freq            string   true       250.000
CONFIG.ADC2_Link_Coupling          string   true       0
CONFIG.ADC2_Multi_Tile_Sync        string   true       false
CONFIG.ADC2_Outclk_Freq            string   true       250.000
CONFIG.ADC2_PLL_Enable             string   true       true
CONFIG.ADC2_Refclk_Div             string   true       1
CONFIG.ADC2_Refclk_Freq            string   true       250.000
CONFIG.ADC2_Sampling_Rate          string   true       2.000
CONFIG.ADC3_Band                   string   true       0
CONFIG.ADC3_Clock_Dist             string   true       0
CONFIG.ADC3_Clock_Source           string   true       2
CONFIG.ADC3_Clock_Source_MX        string   true       3
CONFIG.ADC3_Enable                 string   true       1
CONFIG.ADC3_Fabric_Freq            string   true       250.000
CONFIG.ADC3_Link_Coupling          string   true       0
CONFIG.ADC3_Multi_Tile_Sync        string   true       false
CONFIG.ADC3_Outclk_Freq            string   true       250.000
CONFIG.ADC3_PLL_Enable             string   true       true
CONFIG.ADC3_Refclk_Div             string   true       1
CONFIG.ADC3_Refclk_Freq            string   true       250.000
CONFIG.ADC3_Sampling_Rate          string   true       2.000
CONFIG.ADC224_En                   string   true       true
CONFIG.ADC225_En                   string   true       true
CONFIG.ADC226_En                   string   true       true
CONFIG.ADC227_En                   string   true       true
CONFIG.ADC_Bypass_BG_Cal00         string   true       false
CONFIG.ADC_Bypass_BG_Cal01         string   true       false
CONFIG.ADC_Bypass_BG_Cal02         string   true       false
CONFIG.ADC_Bypass_BG_Cal03         string   true       false
CONFIG.ADC_Bypass_BG_Cal10         string   true       false
CONFIG.ADC_Bypass_BG_Cal11         string   true       false
CONFIG.ADC_Bypass_BG_Cal12         string   true       false
CONFIG.ADC_Bypass_BG_Cal13         string   true       false
CONFIG.ADC_Bypass_BG_Cal20         string   true       false
CONFIG.ADC_Bypass_BG_Cal21         string   true       false
CONFIG.ADC_Bypass_BG_Cal22         string   true       false
